,response,context,context/0,context/1,context/2,context/3,context/4,context/5,context/6,context/7,context/8
175,Ok– I- understand. You can’t- say.,Ooo... er... can’t... say... argh...,Who’s plotting them?,What terrible things? ,"There is a plot, a plot to make most terrible things happen.",HARRY Potter must not go back to Hogwarts School of Witchcraft and Wizardry this year! ,Dobby has to protect HARRY Potter- to warn him. ,But Dobby had to come. ,If they ever knew Dobby was here...ooh... ,Dobby is bound to serve one family forever. ,"The wizard family Dobby serves, sir. "
176,"Dobby! Dobby, put the lamp down.","Don’t make me talk, I— Errr...",Ok– I- understand. You can’t- say.,Ooo... er... can’t... say... argh...,Who’s plotting them?,What terrible things? ,"There is a plot, a plot to make most terrible things happen.",HARRY Potter must not go back to Hogwarts School of Witchcraft and Wizardry this year! ,Dobby has to protect HARRY Potter- to warn him. ,But Dobby had to come. ,If they ever knew Dobby was here...ooh... 
177,Ron! Fred. George. ,"Hi, HARRY!",You’re never going to see those freaky friends of yours again. Never!,You’re never going back to that school. ,That’s why I kept him upstairs!,Meeting strangers upsets him. ,I’m so sorry! It’s my nephew- he’s very disturbed. ,"A-and the second plumber said, “Yes, and that’s just the top of it!”",And one plumber said “Look at all that water.” ,"...it spread as far as the eye could see, all over the floor of this vast building, and it was this deep. ","Then, Dobby must do it, sir, for HARRY Potter’s own good. "
178,What are you all doing here?,Ron! Fred. George. ,"Hi, HARRY!",You’re never going to see those freaky friends of yours again. Never!,You’re never going back to that school. ,That’s why I kept him upstairs!,Meeting strangers upsets him. ,I’m so sorry! It’s my nephew- he’s very disturbed. ,"A-and the second plumber said, “Yes, and that’s just the top of it!”",And one plumber said “Look at all that water.” ,"...it spread as far as the eye could see, all over the floor of this vast building, and it was this deep. "
179,Ahh- ahh!,"Petunia, he’s escaping!","Come on, HARRY! Hurry up!",Come on.,Come on.,"Dad, hurry up!","Go, go, go, go!",Dad! What’s going on?,"Now, what the hell’s he doing? Potter!",Oh!,You’d better stand back. Let’s go!
180,Let go of me!,Come here!,I’ve got you HARRY!,Ahh- ahh!,"Petunia, he’s escaping!","Come on, HARRY! Hurry up!",Come on.,Come on.,"Dad, hurry up!","Go, go, go, go!",Dad! What’s going on?
181,Get off!,"Oh no, boy! You and that bloody pigeon aren’t going anywhere!",Let go of me!,Come here!,I’ve got you HARRY!,Ahh- ahh!,"Petunia, he’s escaping!","Come on, HARRY! Hurry up!",Come on.,Come on.,"Dad, hurry up!"
182,Floo powder?,"But HARRY's never traveled by Floo powder before, Mum.","You go first, dear.","Here we are, HARRY.",Right.,Diagon Alley.,There’s only one place we’re going to get all of this. ,We’ll manage. ,The spell books alone are very expensive.,"This lot won’t come cheap, Mum. ","Oh, no."
183,Diagonally.,"Now, don't forget to speak very, very clearly.","That's it, very good.","Now, take your Floo powder.",That's right.,Mind your head.,In you go. That's it.,Come on.,Don't be afraid. Come on.,"You see? It's quite easy, dear.",Diagon Alley.
184,"I'm fine, thank you. I was just going...","Not lost, are you, my dear?","Come, Draco.",I'll expect you at the manor tomorrow. ,Very good. ,Not with me.,Wizard blood is counting for less everywhere.,It's the same all over. ,I would have thought you'd be ashamed that a girl of no wizarding family beat you in every exam.,That Hermione Granger --, It's not my fault the teachers have favorites. 
185, No. Please...,We'll help you find your way back.,Come with us. ,"I'm fine, thank you. I was just going...","Not lost, are you, my dear?","Come, Draco.",I'll expect you at the manor tomorrow. ,Very good. ,Not with me.,Wizard blood is counting for less everywhere.,It's the same all over. 
186,Hagrid!, HARRY?, No. Please...,We'll help you find your way back.,Come with us. ,"I'm fine, thank you. I was just going...","Not lost, are you, my dear?","Come, Draco.",I'll expect you at the manor tomorrow. ,Very good. ,Not with me.
187,"I was lost, I...",People will think you're up to no good.,Don't want no one to see you there.,Dodgy place.,Skulking around Knockturn Alley? ,"You're a mess, HARRY. ",What do you think you're doing down here? Come on.,Hagrid!, HARRY?, No. Please...,We'll help you find your way back.
188,Hang on.,"I was lost, I...",People will think you're up to no good.,Don't want no one to see you there.,Dodgy place.,Skulking around Knockturn Alley? ,"You're a mess, HARRY. ",What do you think you're doing down here? Come on.,Hagrid!, HARRY?, No. Please...
189,What were you doing down there then?,Hang on.,"I was lost, I...",People will think you're up to no good.,Don't want no one to see you there.,Dodgy place.,Skulking around Knockturn Alley? ,"You're a mess, HARRY. ",What do you think you're doing down here? Come on.,Hagrid!, HARRY?
190,It's great to see you too.,It's so good to see you.,"Hello, Hermione.",HARRY. Hagrid.,They're ruining all the school cabbages.,I was looking for Flesh-Eating Slug Repellent.,Me? I was... ,What were you doing down there then?,Hang on.,"I was lost, I...",People will think you're up to no good.
191,I definitely need to remember that one.,Oculus Reparo.,What did you do to your glasses?,It's great to see you too.,It's so good to see you.,"Hello, Hermione.",HARRY. Hagrid.,They're ruining all the school cabbages.,I was looking for Flesh-Eating Slug Repellent.,Me? I was... ,What were you doing down there then?
192,Thank you. Bye.,"Okay, bye.",Right. I'll leave you to it.,"You'll be all right now then, HARRY?",I definitely need to remember that one.,Oculus Reparo.,What did you do to your glasses?,It's great to see you too.,It's so good to see you.,"Hello, Hermione.",HARRY. Hagrid.
193,Voldemort killed my parents.,"As, of course, is the wizard who gave it to you.",Your scar is legend.,Forgive me.,Lucius Malfoy. We meet at last.,Mr. Potter.,"Now, now, Draco, play nicely.",You've got yourself a girlfriend.,"Look, Potter.",Leave him alone.,Can't go into a bookshop without making the front page.
194,He was nothing more than a murderer.,Voldemort killed my parents.,"As, of course, is the wizard who gave it to you.",Your scar is legend.,Forgive me.,Lucius Malfoy. We meet at last.,Mr. Potter.,"Now, now, Draco, play nicely.",You've got yourself a girlfriend.,"Look, Potter.",Leave him alone.
195,Let's go.,"Come on, Ginny, we'll get you a seat. Hurry.","After you, dear.",Okay.,"Fred, George, Percy, you first.",Oh dear! The train'll be leaving any moment! ,The train will be leaving any moment.,"10:58, come on.",See you at school.,I'll see you at work.,And I thought your family could sink no lower.
196,Sorry.,What do you two think you're doing?,Let's go.,"Come on, Ginny, we'll get you a seat. Hurry.","After you, dear.",Okay.,"Fred, George, Percy, you first.",Oh dear! The train'll be leaving any moment! ,The train will be leaving any moment.,"10:58, come on.",See you at school.
197,Lost control of the trolley.,Sorry.,What do you two think you're doing?,Let's go.,"Come on, Ginny, we'll get you a seat. Hurry.","After you, dear.",Okay.,"Fred, George, Percy, you first.",Oh dear! The train'll be leaving any moment! ,The train will be leaving any moment.,"10:58, come on."
198,Why can't we get through?,Lost control of the trolley.,Sorry.,What do you two think you're doing?,Let's go.,"Come on, Ginny, we'll get you a seat. Hurry.","After you, dear.",Okay.,"Fred, George, Percy, you first.",Oh dear! The train'll be leaving any moment! ,The train will be leaving any moment.
199,The train leaves at exactly 11:00.,The gateway has sealed itself for some reason.,I don't know.,Why can't we get through?,Lost control of the trolley.,Sorry.,What do you two think you're doing?,Let's go.,"Come on, Ginny, we'll get you a seat. Hurry.","After you, dear.",Okay.
200,We've missed it.,The train leaves at exactly 11:00.,The gateway has sealed itself for some reason.,I don't know.,Why can't we get through?,Lost control of the trolley.,Sorry.,What do you two think you're doing?,Let's go.,"Come on, Ginny, we'll get you a seat. Hurry.","After you, dear."
201,Maybe we should just go and wait by the car.,"HARRY, if we can't get through maybe Mum and Dad can't get back.",We've missed it.,The train leaves at exactly 11:00.,The gateway has sealed itself for some reason.,I don't know.,Why can't we get through?,Lost control of the trolley.,Sorry.,What do you two think you're doing?,Let's go.
202,"Ron, I should tell you most Muggles aren't accustomed to seeing a flying car.",The car.,Maybe we should just go and wait by the car.,"HARRY, if we can't get through maybe Mum and Dad can't get back.",We've missed it.,The train leaves at exactly 11:00.,The gateway has sealed itself for some reason.,I don't know.,Why can't we get through?,Lost control of the trolley.,Sorry.
203,"Come on, then. Let's go lower.","Oh, no! The Invisibility Booster must be faulty.","Aaa, Right.","Ron, I should tell you most Muggles aren't accustomed to seeing a flying car.",The car.,Maybe we should just go and wait by the car.,"HARRY, if we can't get through maybe Mum and Dad can't get back.",We've missed it.,The train leaves at exactly 11:00.,The gateway has sealed itself for some reason.,I don't know.
204,We need to find the train.,"Come on, then. Let's go lower.","Oh, no! The Invisibility Booster must be faulty.","Aaa, Right.","Ron, I should tell you most Muggles aren't accustomed to seeing a flying car.",The car.,Maybe we should just go and wait by the car.,"HARRY, if we can't get through maybe Mum and Dad can't get back.",We've missed it.,The train leaves at exactly 11:00.,The gateway has sealed itself for some reason.
205,All we need to do is catch up with the train.,Okay.,We need to find the train.,"Come on, then. Let's go lower.","Oh, no! The Invisibility Booster must be faulty.","Aaa, Right.","Ron, I should tell you most Muggles aren't accustomed to seeing a flying car.",The car.,Maybe we should just go and wait by the car.,"HARRY, if we can't get through maybe Mum and Dad can't get back.",We've missed it.
206,Do you hear that?,We can't be far behind.,All we need to do is catch up with the train.,Okay.,We need to find the train.,"Come on, then. Let's go lower.","Oh, no! The Invisibility Booster must be faulty.","Aaa, Right.","Ron, I should tell you most Muggles aren't accustomed to seeing a flying car.",The car.,Maybe we should just go and wait by the car.
207,Hold on.,We must be getting close.,Do you hear that?,We can't be far behind.,All we need to do is catch up with the train.,Okay.,We need to find the train.,"Come on, then. Let's go lower.","Oh, no! The Invisibility Booster must be faulty.","Aaa, Right.","Ron, I should tell you most Muggles aren't accustomed to seeing a flying car."
208,I'm trying. Your hand's all sweaty.,Hold on!,Take my hand!,Hold oonnn!!!,Haaaarryyy!,Aaaaaaahhhh!,Hold on.,We must be getting close.,Do you hear that?,We can't be far behind.,All we need to do is catch up with the train.
209,I think we found the train.,I'm trying. Your hand's all sweaty.,Hold on!,Take my hand!,Hold oonnn!!!,Haaaarryyy!,Aaaaaaahhhh!,Hold on.,We must be getting close.,Do you hear that?,We can't be far behind.
210,Up! Up!,Welcome home.,Yeah.,I think we found the train.,I'm trying. Your hand's all sweaty.,Hold on!,Take my hand!,Hold oonnn!!!,Haaaarryyy!,Aaaaaaahhhh!,Hold on.
211,"Up! Ron, mind that tree!",It's not working!,Up! Up!,Welcome home.,Yeah.,I think we found the train.,I'm trying. Your hand's all sweaty.,Hold on!,Take my hand!,Hold oonnn!!!,Haaaarryyy!
212,Be thankful it's not your neck.,My wand. Look at my wand.,Stop! Stop! Stop!,Aaahhh! Aaah!,"Up! Ron, mind that tree!",It's not working!,Up! Up!,Welcome home.,Yeah.,I think we found the train.,I'm trying. Your hand's all sweaty.
213,I don't know.,What's happening?,Be thankful it's not your neck.,My wand. Look at my wand.,Stop! Stop! Stop!,Aaahhh! Aaah!,"Up! Ron, mind that tree!",It's not working!,Up! Up!,Welcome home.,Yeah.
214,"Come on, go! Fast!",I don't know.,What's happening?,Be thankful it's not your neck.,My wand. Look at my wand.,Stop! Stop! Stop!,Aaahhh! Aaah!,"Up! Ron, mind that tree!",It's not working!,Up! Up!,Welcome home.
215,"See you, Hedwig.",Dad's gonna kill me.,The caaaar!,"Scabbers, you're okay.","Come on, go! Fast!",I don't know.,What's happening?,Be thankful it's not your neck.,My wand. Look at my wand.,Stop! Stop! Stop!,Aaahhh! Aaah!
216,So a house-elf shows up in my bedroom we can't get through the barrier to platform 93/4...,"See you, Hedwig.",Dad's gonna kill me.,The caaaar!,"Scabbers, you're okay.","Come on, go! Fast!",I don't know.,What's happening?,Be thankful it's not your neck.,My wand. Look at my wand.,Stop! Stop! Stop!
217,we almost get killed by a tree...,So a house-elf shows up in my bedroom we can't get through the barrier to platform 93/4...,"See you, Hedwig.",Dad's gonna kill me.,The caaaar!,"Scabbers, you're okay.","Come on, go! Fast!",I don't know.,What's happening?,Be thankful it's not your neck.,My wand. Look at my wand.
218,Clearly someone doesn't want me here this year.,we almost get killed by a tree...,So a house-elf shows up in my bedroom we can't get through the barrier to platform 93/4...,"See you, Hedwig.",Dad's gonna kill me.,The caaaar!,"Scabbers, you're okay.","Come on, go! Fast!",I don't know.,What's happening?,Be thankful it's not your neck.
219,Professor Dumbledore.,They are not.,As it is...,the both of you would be on the train home tonight.,"I assure you that were you in Slytherin, and your fate rested with me... ",Silence.,"Honestly, Professor Snape, I think it did more damage to us.",that's been on these grounds since before you were born.,Not to mention the damage you inflicted on a Whomping Willow.,You have risked the exposure of our world.,Do you have any idea how serious this is?
220,Professor McGonagall.,Professor Dumbledore.,They are not.,As it is...,the both of you would be on the train home tonight.,"I assure you that were you in Slytherin, and your fate rested with me... ",Silence.,"Honestly, Professor Snape, I think it did more damage to us.",that's been on these grounds since before you were born.,Not to mention the damage you inflicted on a Whomping Willow.,You have risked the exposure of our world.
221,You're doomed.,Say it. I'm doomed.,"Hello, Percy, Miss Clearwater.","Hello, Sir Nicolas.",There's Nearly Headless Nick.,Grasp your Mandrake and pull it up.,Plenty of pots to go around.,"Right, on we go.","Yes, well, just leave him there.","No, ma'am, he's just fainted.",Longbottom's been neglecting his earmuffs.
222,"Hi, Colin. Nice to meet you.",I'm Colin Creevey. I'm in Gryffindor too.,"Hi, HARRY.",You're doomed.,Say it. I'm doomed.,"Hello, Percy, Miss Clearwater.","Hello, Sir Nicolas.",There's Nearly Headless Nick.,Grasp your Mandrake and pull it up.,Plenty of pots to go around.,"Right, on we go."
223,Stop. Hold still!,Get off me!,"Please, get me down!",You just stay there!,They're only pixies.,"Come on now, round them up, round them up!",Let's see what you make of them.,"Laugh if you will, Mr. Finnegan but pixies can be devilishly tricky little blighters.",Freshly caught Cornish pixies.,Cornish pixies?,It might provoke them.
224,Malfoy?,You've got a new Seeker. Who?,"I, Professor Severus Snape, do hereby give the Slytherin team permission to practice today, owing to the need to train their new Seeker.",I smell trouble.,"Easy, Wood. I've got a note.",I booked the pitch for Gryffindor today.,Quidditch practice.,"Where you think you're going, Flint?",What...? I don't believe it.,"We're gonna train earlier, harder and longer.",I spent the summer devising a whole new Quidditch program.
225,"No, Colin, get out of the way.","Wow! Can you turn him around, HARRY?",Say something.,"You okay, Ron?",Eat slugs!,"You'll pay for that one, Malfoy.","No one asked your opinion, you filthy little Mudblood.",They got in on pure talent.,At least no one on the Gryffindor team had to buy their way in.,"You see, Weasley, unlike some, my father can afford the best.",A gift from Draco's father.
226,Let's take him to Hagrid's.,"No, Colin, get out of the way.","Wow! Can you turn him around, HARRY?",Say something.,"You okay, Ron?",Eat slugs!,"You'll pay for that one, Malfoy.","No one asked your opinion, you filthy little Mudblood.",They got in on pure talent.,At least no one on the Gryffindor team had to buy their way in.,"You see, Weasley, unlike some, my father can afford the best."
227,He'll know what to do.,Let's take him to Hagrid's.,"No, Colin, get out of the way.","Wow! Can you turn him around, HARRY?",Say something.,"You okay, Ron?",Eat slugs!,"You'll pay for that one, Malfoy.","No one asked your opinion, you filthy little Mudblood.",They got in on pure talent.,At least no one on the Gryffindor team had to buy their way in.
228,Malfoy. He called Hermione...,"Who was Ron trying to curse, anyway?",Better out than in.,Okay.,"Nothing to do but wait till it stops, I'm afraid.",This calls for a specialist's equipment.,He'll know what to do.,Let's take him to Hagrid's.,"No, Colin, get out of the way.","Wow! Can you turn him around, HARRY?",Say something.
229,"Well, I don't know exactly what it means.",Malfoy. He called Hermione...,"Who was Ron trying to curse, anyway?",Better out than in.,Okay.,"Nothing to do but wait till it stops, I'm afraid.",This calls for a specialist's equipment.,He'll know what to do.,Let's take him to Hagrid's.,"No, Colin, get out of the way.","Wow! Can you turn him around, HARRY?"
230,What's a Mudblood?,He did not.,He called me a Mudblood.,"Well, I don't know exactly what it means.",Malfoy. He called Hermione...,"Who was Ron trying to curse, anyway?",Better out than in.,Okay.,"Nothing to do but wait till it stops, I'm afraid.",This calls for a specialist's equipment.,He'll know what to do.
231,That's horrible.,"See, the thing is, HARRY, there are some wizards, like the Malfoy family...who think they're better than everyone else because they're pure-blood.",It's not a term one usually hears in civilized conversation.,Someone like me.,Someone with non-magic parents.,Mudblood's a foul name for someone who's Muggle-born.,"It means ""dirty blood.",What's a Mudblood?,He did not.,He called me a Mudblood.,"Well, I don't know exactly what it means."
232,Not really.,Can you possibly imagine a better way to serve detention than by helping me to answer my fan mail?,"HARRY, HARRY, HARRY.",Don't you think on it for one minute.,"Don't you think on it, Hermione.",Come here.,"More to the point, they've yet to think of a spell that our Hermione can't do.","Why, there isn't a wizard alive today that's not half-blood or less.",Dirty blood.,And it's codswallop to boot.,It's disgusting.
233,What?,Come to me.,Come.,Remember that.,Celebrity is as celebrity does.,"Fame is a fickle friend, HARRY.",Not really.,Can you possibly imagine a better way to serve detention than by helping me to answer my fan mail?,"HARRY, HARRY, HARRY.",Don't you think on it for one minute.,"Don't you think on it, Hermione."
234,That voice.,Sorry?,What?,Come to me.,Come.,Remember that.,Celebrity is as celebrity does.,"Fame is a fickle friend, HARRY.",Not really.,Can you possibly imagine a better way to serve detention than by helping me to answer my fan mail?,"HARRY, HARRY, HARRY."
235,Didn't you hear it?,Voice?,That voice.,Sorry?,What?,Come to me.,Come.,Remember that.,Celebrity is as celebrity does.,"Fame is a fickle friend, HARRY.",Not really.
236,Spooky.,Spooky how the time flies when one is having fun.,We've been here nearly four hours.,Look at the time.,"And great Scott, no wonder. ",I think you're getting a bit drowsy.,"What are you talking about, HARRY?",Didn't you hear it?,Voice?,That voice.,Sorry?
237,Did you hear it?,HARRY!,Kill!,Kill!,Kill!,Let me kill you.,Let me rip you.,I smell blood.,Blood.,Spooky.,Spooky how the time flies when one is having fun.
238,That voice.,Hear what?,Did you hear it?,HARRY!,Kill!,Kill!,Kill!,Let me kill you.,Let me rip you.,I smell blood.,Blood.
239,I heard it first in Lockhart's office.,Voice? What voice?,That voice.,Hear what?,Did you hear it?,HARRY!,Kill!,Kill!,Kill!,Let me kill you.,Let me rip you.
240,And then again just...,I heard it first in Lockhart's office.,Voice? What voice?,That voice.,Hear what?,Did you hear it?,HARRY!,Kill!,Kill!,Kill!,Let me kill you.
241,It's moving.,It's time.,And then again just...,I heard it first in Lockhart's office.,Voice? What voice?,That voice.,Hear what?,Did you hear it?,HARRY!,Kill!,Kill!
242,I think it's going to kill.,It's moving.,It's time.,And then again just...,I heard it first in Lockhart's office.,Voice? What voice?,That voice.,Hear what?,Did you hear it?,HARRY!,Kill!
243,Strange.,"HARRY, wait! Not so fast!",Kill?,I think it's going to kill.,It's moving.,It's time.,And then again just...,I heard it first in Lockhart's office.,Voice? What voice?,That voice.,Hear what?
244,I've never seen spiders act like that.,Strange.,"HARRY, wait! Not so fast!",Kill?,I think it's going to kill.,It's moving.,It's time.,And then again just...,I heard it first in Lockhart's office.,Voice? What voice?,That voice.
245,"Oh, no.",It's written in blood.,"Enemies of the Heir, beware.","The Chamber of Secrets has been opened. 
Enemies of the Heir, beware.",What's that?,I don't like spiders.,I've never seen spiders act like that.,Strange.,"HARRY, wait! Not so fast!",Kill?,I think it's going to kill.
246,It's Filch's cat.,"Oh, no.",It's written in blood.,"Enemies of the Heir, beware.","The Chamber of Secrets has been opened. 
Enemies of the Heir, beware.",What's that?,I don't like spiders.,I've never seen spiders act like that.,Strange.,"HARRY, wait! Not so fast!",Kill?
247,It's Mrs. Norris.,It's Filch's cat.,"Oh, no.",It's written in blood.,"Enemies of the Heir, beware.","The Chamber of Secrets has been opened. 
Enemies of the Heir, beware.",What's that?,I don't like spiders.,I've never seen spiders act like that.,Strange.,"HARRY, wait! Not so fast!"
248,No. No.,You've murdered my cat.,Mrs. Norris?,What are you...?,Potter?,"Go on. Make way, make way.",What's going on here?,"You'll be next, Mudbloods.","Enemies of the Heir, beware.",It's Mrs. Norris.,It's Filch's cat.
249,"It's not true, sir. I swear.",You saw what he wrote on the wall.,It's him that's done it.,Ask him.,"But how she has been Petrified, I cannot say.",I know exactly the countercurse that could've spared her.,So unlucky I wasn't there.,Aghh! Thought so.,She has been Petrified.,"She's not dead, Argus.","Ravenclaws, follow me."
250,I never touched Mrs. Norris.,"It's not true, sir. I swear.",You saw what he wrote on the wall.,It's him that's done it.,Ask him.,"But how she has been Petrified, I cannot say.",I know exactly the countercurse that could've spared her.,So unlucky I wasn't there.,Aghh! Thought so.,She has been Petrified.,"She's not dead, Argus."
251,When I said I wasn't hungry.,"Yes, Miss Granger?",We'd just found him when he said...,"That's why Ron and I went looking for him, professor.","You see, HARRY was helping me answer my fan mail.","I'm afraid that's my doing, Severus.","I, for one, don't recall seeing Potter at dinner.",However the circumstances are suspicious.,Perhaps Potter and his friends were just in the wrong place at the wrong time.,"If I might, headmaster?",Rubbish.
252,We were heading back to the common room when we found Mrs. Norris.,When I said I wasn't hungry.,"Yes, Miss Granger?",We'd just found him when he said...,"That's why Ron and I went looking for him, professor.","You see, HARRY was helping me answer my fan mail.","I'm afraid that's my doing, Severus.","I, for one, don't recall seeing Potter at dinner.",However the circumstances are suspicious.,Perhaps Potter and his friends were just in the wrong place at the wrong time.,"If I might, headmaster?"
253,Strange?,"It's a bit strange, isn't it?",And in the meantime I strongly recommend caution to all.,"When matured, a potion will be made which will revive Mrs. Norris.","As I understand it, Madam Sprout has a very healthy growth of Mandrake.","We will be able to cure her, Argus.",I want to see some punishment!,My cat has been Petrified.,"Innocent until proven guilty, Severus.",We were heading back to the common room when we found Mrs. Norris.,When I said I wasn't hungry.
254,Do you think I should have told them?,and then Mrs. Norris turns up Petrified. It's just strange.,"You hear this voice, a voice only you can hear...",Strange?,"It's a bit strange, isn't it?",And in the meantime I strongly recommend caution to all.,"When matured, a potion will be made which will revive Mrs. Norris.","As I understand it, Madam Sprout has a very healthy growth of Mandrake.","We will be able to cure her, Argus.",I want to see some punishment!,My cat has been Petrified.
255,"Dumbledore and the others, I mean?",Do you think I should have told them?,and then Mrs. Norris turns up Petrified. It's just strange.,"You hear this voice, a voice only you can hear...",Strange?,"It's a bit strange, isn't it?",And in the meantime I strongly recommend caution to all.,"When matured, a potion will be made which will revive Mrs. Norris.","As I understand it, Madam Sprout has a very healthy growth of Mandrake.","We will be able to cure her, Argus.",I want to see some punishment!
256,"If there really is a Chamber of Secrets, and it has been opened, that means... ",All the teachers are.,McGonagall's worried. ,Yes. Couldn't you tell? , Do you think there really is a Chamber of Secrets?,Do you think it's true?,It is said to be the home of a monster.,The Chamber is said to be home to something that only the Heir of Slytherin can control.,Professor? What exactly does legend tell us lies within the Chamber?,No such chamber has been found.,"Well , Naturally, the school has been searched many times."
257,"Maybe Ron's right, Hermione.","But Malfoy, the Heir of Slytherin?",I heard him.,"You'll be next, Mudbloods.",Of course. You heard him.,If you're talking about Malfoy...,Who do we know who thinks all Muggle-borns are scum?,Let's think. ,"The question is, who is it?",The Heir of Slytherin has returned to Hogwarts. ,"If there really is a Chamber of Secrets, and it has been opened, that means... "
258,"I mean, look at his family.","Maybe Ron's right, Hermione.","But Malfoy, the Heir of Slytherin?",I heard him.,"You'll be next, Mudbloods.",Of course. You heard him.,If you're talking about Malfoy...,Who do we know who thinks all Muggle-borns are scum?,Let's think. ,"The question is, who is it?",The Heir of Slytherin has returned to Hogwarts. 
259,The whole lot of them have been in Slytherin for centuries.,"I mean, look at his family.","Maybe Ron's right, Hermione.","But Malfoy, the Heir of Slytherin?",I heard him.,"You'll be next, Mudbloods.",Of course. You heard him.,If you're talking about Malfoy...,Who do we know who thinks all Muggle-borns are scum?,Let's think. ,"The question is, who is it?"
260,How long will it take to make?,I've never seen a more complicated potion.,But it's tricky. ,Exactly.,Wicked! Malfoy will tell us anything.,Yes ,"You mean if HARRY and I drink that stuff, we'll turn into Crabbe and Goyle?","Properly brewed, the Polyjuice Potion allows the drinker to transform himself temporarily into the physical form of another.",The Polyjuice Potion.,Here it is.,Very dangerous.
261,A month?,A month.,How long will it take to make?,I've never seen a more complicated potion.,But it's tricky. ,Exactly.,Wicked! Malfoy will tell us anything.,Yes ,"You mean if HARRY and I drink that stuff, we'll turn into Crabbe and Goyle?","Properly brewed, the Polyjuice Potion allows the drinker to transform himself temporarily into the physical form of another.",The Polyjuice Potion.
262,"But, Hermione,",A month?,A month.,How long will it take to make?,I've never seen a more complicated potion.,But it's tricky. ,Exactly.,Wicked! Malfoy will tell us anything.,Yes ,"You mean if HARRY and I drink that stuff, we'll turn into Crabbe and Goyle?","Properly brewed, the Polyjuice Potion allows the drinker to transform himself temporarily into the physical form of another."
263,if Malfoy is the Heir of Slytherin he could attack half the Muggle-borns in the school by then.,"But, Hermione,",A month?,A month.,How long will it take to make?,I've never seen a more complicated potion.,But it's tricky. ,Exactly.,Wicked! Malfoy will tell us anything.,Yes ,"You mean if HARRY and I drink that stuff, we'll turn into Crabbe and Goyle?"
264,"Wood, look out!","Watch yourself, HARRY!","All right there, Scarhead?",Yeah! Yeah!,They lead Gryffindor 90 to 30.,Another goal for Slytherin!,But it's the only plan we've got.,I know.,if Malfoy is the Heir of Slytherin he could attack half the Muggle-borns in the school by then.,"But, Hermione,",A month?
265,Thank you.,Finite Incantatem!,Gryffindor wins!,HARRY Potter has caught the Snitch.,Let's go.,"You'll never catch me, Potter.","Training for the ballet, Potter!!",You could hit HARRY.,"No! Even with a proper wand, it's too risky.",I'll stop it.,"That's been tampered with, that has."
266,No. I think my arm is broken.,Are you okay?,Thank you.,Finite Incantatem!,Gryffindor wins!,HARRY Potter has caught the Snitch.,Let's go.,"You'll never catch me, Potter.","Training for the ballet, Potter!!",You could hit HARRY.,"No! Even with a proper wand, it's too risky."
267,"No, Not you.",I will fix that arm of yours straight away.,"Not to worry, HARRY. ",No. I think my arm is broken.,Are you okay?,Thank you.,Finite Incantatem!,Gryffindor wins!,HARRY Potter has caught the Snitch.,Let's go.,"You'll never catch me, Potter."
268,Dobby?,Hello.,Time to kill..,Kill. Kill.!!,Pumpkin juice?,What do you expect?,Regrowing bones is a nasty business.,"You're in for a rough night, Potter.",But it'll be painful.,"I'll be able to, certainly.","You will be able to, won't you?"
269,It was you. ,HARRY Potter should have gone back home when he missed the train.,HARRY Potter should have listened to Dobby.,Dobby?,Hello.,Time to kill..,Kill. Kill.!!,Pumpkin juice?,What do you expect?,Regrowing bones is a nasty business.,"You're in for a rough night, Potter."
270,You stopped the barrier from letting Ron and me through.,It was you. ,HARRY Potter should have gone back home when he missed the train.,HARRY Potter should have listened to Dobby.,Dobby?,Hello.,Time to kill..,Kill. Kill.!!,Pumpkin juice?,What do you expect?,Regrowing bones is a nasty business.
271,You nearly got Ron and me expelled.,"Indeed. Yes, sir.",You stopped the barrier from letting Ron and me through.,It was you. ,HARRY Potter should have gone back home when he missed the train.,HARRY Potter should have listened to Dobby.,Dobby?,Hello.,Time to kill..,Kill. Kill.!!,Pumpkin juice?
272,Your Bludger? You made that Bludger chase after me?,Dobby thought his Bludger would be enough to make HARRY Potter see...,HARRY Potter must go home.,At least you would be away from here.,You nearly got Ron and me expelled.,"Indeed. Yes, sir.",You stopped the barrier from letting Ron and me through.,It was you. ,HARRY Potter should have gone back home when he missed the train.,HARRY Potter should have listened to Dobby.,Dobby?
273,"You better clear off before my bones come back Dobby, or I might strangle you.",Dobby had to iron his hands.,"Dobby feels most aggrieved, sir.",Your Bludger? You made that Bludger chase after me?,Dobby thought his Bludger would be enough to make HARRY Potter see...,HARRY Potter must go home.,At least you would be away from here.,You nearly got Ron and me expelled.,"Indeed. Yes, sir.",You stopped the barrier from letting Ron and me through.,It was you. 
274,I don't suppose you could tell me why you're trying to kill me?,Dobby gets them five times a day at home.,"Dobby is used to death threats, sir.","You better clear off before my bones come back Dobby, or I might strangle you.",Dobby had to iron his hands.,"Dobby feels most aggrieved, sir.",Your Bludger? You made that Bludger chase after me?,Dobby thought his Bludger would be enough to make HARRY Potter see...,HARRY Potter must go home.,At least you would be away from here.,You nearly got Ron and me expelled.
